WTeam,LTeam,WLoc
Los Angeles Lakers,Portland Trail Blazers,H
Milwaukee Bucks,New Orleans Pelicans,H
Detroit Pistons,San Antonio Spurs,H
Chicago Bulls,Washington Wizards,V
Los Angeles Clippers,Brooklyn Nets,V
Denver Nuggets,Houston Rockets,V
Golden State Warriors,Utah Jazz,V
Toronto Raptors,New York Knicks,H
Boston Celtics,Orlando Magic,H
Cleveland Cavaliers,Indiana Pacers,H
Sacramento Kings,Miami Heat,H
Charlotte Hornets,Phoenix Suns,H
Dallas Mavericks,Oklahoma City Thunder,V
Los Angeles Lakers,Minnesota Timberwolves,H
Philadelphia 76ers,Houston Rockets,H
Washington Wizards,Charlotte Hornets,H
Memphis Grizzlies,Brooklyn Nets,V
Orlando Magic,Chicago Bulls,V
Detroit Pistons,Milwaukee Bucks,V
Utah Jazz,New Orleans Pelicans,V
Denver Nuggets,Dallas Mavericks,V
Golden State Warriors,Miami Heat,H
Portland Trail Blazers,Atlanta Hawks,H
Minnesota Timberwolves,Los Angeles Clippers,V
Memphis Grizzlies,Cleveland Cavaliers,V
Toronto Raptors,San Antonio Spurs,H
Indiana Pacers,New York Knicks,V
Phoenix Suns,New Orleans Pelicans,V
Los Angeles Lakers,Sacramento Kings,H
Charlotte Hornets,Detroit Pistons,H
Philadelphia 76ers,Orlando Magic,V
Houston Rockets,Washington Wizards,V
San Antonio Spurs,Boston Celtics,V
Dallas Mavericks,Golden State Warriors,H
Brooklyn Nets,Indiana Pacers,V
Toronto Raptors,Milwaukee Bucks,V
Minnesota Timberwolves,Oklahoma City Thunder,H
Utah Jazz,Denver Nuggets,V
Miami Heat,Portland Trail Blazers,V
Atlanta Hawks,Sacramento Kings,V
New York Knicks,Boston Celtics,H
Detroit Pistons,Memphis Grizzlies,V
Golden State Warriors,New Orleans Pelicans,V
Los Angeles Clippers,Phoenix Suns,V
Philadelphia 76ers,San Antonio Spurs,H
Milwaukee Bucks,Brooklyn Nets,V
Toronto Raptors,Utah Jazz,H
Chicago Bulls,Washington Wizards,H
Dallas Mavericks,Houston Rockets,V
Minnesota Timberwolves,Oklahoma City Thunder,V
Denver Nuggets,Sacramento Kings,H
Los Angeles Lakers,Atlanta Hawks,H
Cleveland Cavaliers,Portland Trail Blazers,V
Memphis Grizzlies,Los Angeles Clippers,V
Charlotte Hornets,Milwaukee Bucks,H
Detroit Pistons,Orlando Magic,H
Indiana Pacers,Utah Jazz,H
Boston Celtics,New York Knicks,H
Miami Heat,Phoenix Suns,V
Brooklyn Nets,San Antonio Spurs,H
Atlanta Hawks,Los Angeles Clippers,V
Washington Wizards,Orlando Magic,V
Toronto Raptors,New Orleans Pelicans,H
Minnesota Timberwolves,Houston Rockets,V
Denver Nuggets,Oklahoma City Thunder,V
Chicago Bulls,Dallas Mavericks,V
Golden State Warriors,Cleveland Cavaliers,H
Sacramento Kings,Portland Trail Blazers,V
Memphis Grizzlies,Los Angeles Lakers,V
Milwaukee Bucks,Charlotte Hornets,V
Detroit Pistons,Utah Jazz,H
Indiana Pacers,Boston Celtics,V
San Antonio Spurs,New York Knicks,V
Houston Rockets,Philadelphia 76ers,H
Portland Trail Blazers,Brooklyn Nets,H
Cleveland Cavaliers,Sacramento Kings,V
Washington Wizards,Oklahoma City Thunder,H
Phoenix Suns,Toronto Raptors,V
Detroit Pistons,Chicago Bulls,V
Memphis Grizzlies,Golden State Warriors,H
New Orleans Pelicans,Minnesota Timberwolves,H
Los Angeles Clippers,Denver Nuggets,H
Boston Celtics,Indiana Pacers,V
Philadelphia 76ers,Charlotte Hornets,H
Washington Wizards,Orlando Magic,H
Atlanta Hawks,Miami Heat,H
Dallas Mavericks,New York Knicks,V
Houston Rockets,San Antonio Spurs,V
Utah Jazz,Cleveland Cavaliers,H
Brooklyn Nets,Chicago Bulls,V
Sacramento Kings,Los Angeles Lakers,H
Golden State Warriors,Milwaukee Bucks,V
Memphis Grizzlies,Minnesota Timberwolves,H
Los Angeles Clippers,New Orleans Pelicans,V
Oklahoma City Thunder,Brooklyn Nets,V
Denver Nuggets,Portland Trail Blazers,H
Orlando Magic,Charlotte Hornets,V
Toronto Raptors,Detroit Pistons,V
Indiana Pacers,Phoenix Suns,H
Boston Celtics,Philadelphia 76ers,V
Chicago Bulls,Golden State Warriors,H
Miami Heat,Atlanta Hawks,H
Cleveland Cavaliers,San Antonio Spurs,V
Memphis Grizzlies,Dallas Mavericks,H
Sacramento Kings,Houston Rockets,H
Milwaukee Bucks,Toronto Raptors,H
Portland Trail Blazers,Washington Wizards,V
New York Knicks,Atlanta Hawks,V
Brooklyn Nets,New Orleans Pelicans,H
Miami Heat,Philadelphia 76ers,H
Cleveland Cavaliers,Oklahoma City Thunder,V
Boston Celtics,Chicago Bulls,H
Los Angeles Clippers,San Antonio Spurs,V
Los Angeles Lakers,Denver Nuggets,V
Orlando Magic,Dallas Mavericks,V
Phoenix Suns,Detroit Pistons,V
Houston Rockets,Sacramento Kings,V
Utah Jazz,Denver Nuggets,V
Golden State Warriors,Minnesota Timberwolves,V
New Orleans Pelicans,Boston Celtics,V
Charlotte Hornets,New York Knicks,V
Philadelphia 76ers,Washington Wizards,V
Cleveland Cavaliers,Brooklyn Nets,H
Los Angeles Clippers,Indiana Pacers,H
Memphis Grizzlies,Chicago Bulls,H
Atlanta Hawks,Milwaukee Bucks,H
Portland Trail Blazers,Orlando Magic,V
Toronto Raptors,Miami Heat,V
