Vteam,Hteam
New York Knicks,Indiana Pacers
Brooklyn Nets,Detroit Pistons
Golden State Warriors,Toronto Raptors
Chicago Bulls,Minnesota Timberwolves
Charlotte Hornets,Denver Nuggets
Washington Wizards,Los Angeles Lakers
Utah Jazz,Cleveland Cavaliers
Toronto Raptors,Philadelphia 76ers
Orlando Magic,Atlanta Hawks
San Antonio Spurs,Houston Rockets
Dallas Mavericks,Minnesota Timberwolves
Milwaukee Bucks,New Orleans Pelicans
Portland Trail Blazers,Oklahoma City Thunder
Los Angeles Lakers,Phoenix Suns
Charlotte Hornets,Sacramento Kings
Utah Jazz,Detroit Pistons
Chicago Bulls,Miami Heat
Golden State Warriors,New York Knicks
Washington Wizards,Phoenix Suns
Memphis Grizzlies,Denver Nuggets
Milwaukee Bucks,Cleveland Cavaliers
Detroit Pistons,Philadelphia 76ers
Chicago Bulls,Atlanta Hawks
Indiana Pacers,Boston Celtics
Golden State Warriors,Brooklyn Nets
Toronto Raptors,New York Knicks
Orlando Magic,Houston Rockets
Dallas Mavericks,Minnesota Timberwolves
Portland Trail Blazers,Oklahoma City Thunder
Los Angeles Lakers,Sacramento Kings
Charlotte Hornets,Los Angeles Clippers
San Antonio Spurs,New Orleans Pelicans
Washington Wizards,Utah Jazz
San Antonio Spurs,Orlando Magic
Los Angeles Clippers,Philadelphia 76ers
Detroit Pistons,Atlanta Hawks
Minnesota Timberwolves,Boston Celtics
Milwaukee Bucks,Brooklyn Nets
Toronto Raptors,Cleveland Cavaliers
Chicago Bulls,New York Knicks
Dallas Mavericks,Houston Rockets
Indiana Pacers,Miami Heat
New Orleans Pelicans,Oklahoma City Thunder
Portland Trail Blazers,Denver Nuggets
Memphis Grizzlies,Phoenix Suns
Washington Wizards,Sacramento Kings
Charlotte Hornets,Los Angeles Lakers
Philadelphia 76ers,New York Knicks
Los Angeles Lakers,Dallas Mavericks
Milwaukee Bucks,Boston Celtics
Memphis Grizzlies,Golden State Warriors
Phoenix Suns,Denver Nuggets
Brooklyn Nets,Cleveland Cavaliers
Los Angeles Clippers,Detroit Pistons
Minnesota Timberwolves,Miami Heat
Houston Rockets,Chicago Bulls
Indiana Pacers,New Orleans Pelicans
Utah Jazz,San Antonio Spurs
Charlotte Hornets,Portland Trail Blazers
Los Angeles Lakers,Orlando Magic
Philadelphia 76ers,Washington Wizards
Houston Rockets,Boston Celtics
Atlanta Hawks,Indiana Pacers
Los Angeles Clippers,Toronto Raptors
Phoenix Suns,Memphis Grizzlies
San Antonio Spurs,Oklahoma City Thunder
New York Knicks,Dallas Mavericks
Charlotte Hornets,Golden State Warriors
Denver Nuggets,Sacramento Kings
Orlando Magic,Detroit Pistons
Phoenix Suns,Washington Wizards
Brooklyn Nets,Atlanta Hawks
Los Angeles Lakers,Miami Heat
Milwaukee Bucks,Chicago Bulls
Minnesota Timberwolves,New Orleans Pelicans
Utah Jazz,Golden State Warriors
Denver Nuggets,Sacramento Kings
Oklahoma City Thunder,Charlotte Hornets
Cleveland Cavaliers,Indiana Pacers
Los Angeles Clippers,Boston Celtics
Memphis Grizzlies,Toronto Raptors
New York Knicks,San Antonio Spurs
Houston Rockets,Dallas Mavericks
Washington Wizards,Orlando Magic
Los Angeles Lakers,Atlanta Hawks
Phoenix Suns,Toronto Raptors
Detroit Pistons,Chicago Bulls
Minnesota Timberwolves,Milwaukee Bucks
